analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,"Hauenstein, unpublished",FOREST_PLOT,13;14,KNOWN,"Figs 2, 4; = Table 1 #50 Hauenstein (R18MH049101); unpublished, author-supplied data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
,"Thase, unpublished",FOREST_PLOT,13;14;15,KNOWN,"Figs 2, 4 (vs CTRL-NS(PLAC)), 6 (vs ADM); = Table 1 #56 Thase (R01MH041884); unpublished, author-supplied data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
,"[unnamed unpublished, PT1 vs CTRL-TAU]",FOREST_PLOT,13;14,UNRESOLVED,"Figs 2, 4 (rows F2-26/F4-19, g = 0.31): values printed and KNOWN; study name withheld — identity UNRESOLVED (Table 1 candidates: Monk R34MH072838 or Stuart R01MH059103, both PT vs CTRL-TAU (IPT); not resolvable)"
,"[unnamed unpublished, PT1 vs PT2, g = 0.44]",FOREST_PLOT,14,UNRESOLVED,"Fig 5 (row F5-14): values printed and KNOWN; fully anonymized (name, comparison and outcome cells blank) — identity UNRESOLVED"
,"[unnamed unpublished, PT1 vs PT2, g = -0.24]",FOREST_PLOT,14,UNRESOLVED,Fig 5 (row F5-15): values printed and KNOWN; fully anonymized — identity UNRESOLVED
,"[unnamed unpublished, PT1+ADM vs ADM, HAMD-Modified]",FOREST_PLOT,15,UNRESOLVED,"Fig 7 (row F7-11, g = 0.56): values printed and KNOWN; study name withheld — identity UNRESOLVED (Table 1 candidates: Miller R01MH058866 or Zlotnick R21MH060216)"
,[hidden unpublished rows — label and all values suppressed],FOREST_PLOT,13;14;15,UNRESOLVED,"Six fully blank 'Unpublished' rows: Fig 2 (x2), Fig 3, Fig 4, Fig 6, Fig 7; neither names nor statistics printed ('we did not have permission of the investigators'); identities UNRESOLVED; see rows F2-22, F2-25, F3-07, F4-18, F6-18, F7-12 and DRI-CON-11"
,Arean (R01MH063982),TABLE,9,KNOWN,"Table 1 row 1; PUBLISHED, ref [29]; co-grant Alexopoulos (R01MH064099); PT vs CTRL-NS (PST); forest label: Arean, 2010"
,Barber (R01MH061410),TABLE,9,KNOWN,"Table 1 row 2; PUBLISHED, ref [30]; PT vs ADM, PT vs CTRL-PLAC (STPP); forest label: Barber, 2012"
,Beck (R01MH019989),TABLE,9,KNOWN,"Table 1 row 3; PUBLISHED, ref [31]; co-grant Rush (R03MH027759); PT vs ADM (CT); forest label: Rush, 1977"
,Beutler (R01MH039859),TABLE,9,KNOWN,"Table 1 row 4; PUBLISHED, ref [32]; PT vs CTRL-NS, PT vs PT (CT, FEP); forest label: Beutler, 1991"
,Covi (R01MH033585),TABLE,9,KNOWN,"Table 1 row 5; PUBLISHED, ref [33]; PT vs PT (CBT, IPP); forest label: Covi, 1987"
,Denton (K23MH063994),TABLE,9,KNOWN,"Table 1 row 6; PUBLISHED, ref [34]; PT+ADM vs ADM (EFT); forest label: Denton, 2012"
,DeRubeis (R10MH055877b),TABLE,9,KNOWN,"Table 1 row 7; PUBLISHED, ref [35]; co-grants Hollon (R10MH055875), Hollon (K02MH001697); footnote b: 'Grant number reported incorrectly in the published article, but confirmed with authors'; PT vs ADM, PT vs CTRL-PLAC (CT); forest label: DeRubeis, 2005"
,DiMascio (R01MH026467),TABLE,9,KNOWN,"Table 1 row 8; PUBLISHED, refs [36-37]; co-grant Weissman (R01MH026466); PT vs ADM, PT vs CTRL-NS, PT+ADM vs ADM (IPT); forest label: Weissman, 1979"
,Frank (R01MH065376),TABLE,9,KNOWN,"Table 1 row 9; PUBLISHED, ref [38]; PT vs ADM (IPT); forest label: Frank, 2011"
,Frank (R21MH061948),TABLE,9,KNOWN,"Table 1 row 10; PUBLISHED, ref [39]; PT vs PT (IPT, IPT-PS); trial outcomes published only in aggregate, per-trial data obtained from the PI; likely forest label Wright, 2014 (AMBIGUOUS, DRI-CON-19)"
,Freedland (R21MH052629),TABLE,9,KNOWN,"Table 1 row 11; PUBLISHED, ref [40]; PT+CTRL-NS vs CTRL-NS (CBT); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Glick (R01MH034466),TABLE,9,KNOWN,"Table 1 row 12; PUBLISHED, refs [41-42]; PT+CTRL-TAU+ADM vs CTRL-TAU+ADM (IFI); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Greenberg (R01MH045040),TABLE,9,KNOWN,"Table 1 row 13; PUBLISHED, ref [43]; PT vs PT (CCT, EFT); forest label: Goldman, 2006"
,Hersen (R01MH028279),TABLE,9,KNOWN,"Table 1 row 14; PUBLISHED, ref [44]; PT+ADM vs ADM, PT+CTRL-PLAC vs PT+CTRL-PLAC (SST, STPP); forest label: Hersen, 1984"
,Hollon (R01MH033209),TABLE,9,KNOWN,"Table 1 row 15; PUBLISHED, ref [45]; PT vs ADM, PT+ADM vs ADM (CT); forest label: Hollon, 1992"
,Hollon (R01MH060713),TABLE,9,KNOWN,"Table 1 row 16; PUBLISHED, ref [46]; co-grants Fawcett (R01MH060768), DeRubeis (R01MH060998); PT+ADM vs ADM (CT); forest label: Hollon, 2014"
,Imber (U01MH033753),TABLE,9,KNOWN,"Table 1 row 17; PUBLISHED, ref [47]; co-grants Watkins (U01MH033760), Sotsky (U01MH033762); PT vs ADM, PT vs CTRL-PLAC, PT vs PT (CBT, IPT); forest label: Elkin, 1989"
,Jacobson (R01MH033838),TABLE,9,KNOWN,"Table 1 row 18; PUBLISHED, ref [48]; PT vs PT (CBT, BMT, CO); forest label: Jacobson, 1991"
,Jacobson (R01MH055502),TABLE,9,KNOWN,"Table 1 row 19; PUBLISHED, ref [49]; PT vs ADM, PT vs CTRL-PLAC, PT vs PT (CT, BA); forest label: Dimidjian, 2006"
,Jacobson (R37MH044063),TABLE,9,KNOWN,"Table 1 row 20; PUBLISHED, ref [50]; PT+PT+PT vs PT+PT, PT+PT+PT vs PT, PT+PT vs PT (CT, P-CT, BA); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Jarrett (R01MH045043),TABLE,10,KNOWN,"Table 1 row 21; PUBLISHED, ref [51]; PT vs ADM, PT vs CTRL-PLAC (CT); forest label: Jarrett, 1999"
,Keefe (R01NS046422),TABLE,10,KNOWN,"Table 1 row 22; PUBLISHED, ref [52]; PT vs CTRL-NS, PT vs CTRL-TAU (SeST); forest label: Waters, in press"
,Lustman (R01DK036452),TABLE,10,KNOWN,"Table 1 row 23; PUBLISHED, ref [53]; PT vs CTRL-NS (CBT); forest label: Hayden, 2012"
,Lynch (R03MH057799),TABLE,10,KNOWN,"Table 1 row 24; PUBLISHED, ref [54]; PT+ADM vs ADM (DBT); forest label: Lynch, 2003"
,Manber (R21MH066131),TABLE,10,KNOWN,"Table 1 row 25; PUBLISHED, ref [55]; PT+ADM vs CTRL-NS+ADM (CBTI); appears in no forest plot or Table 2 pool (reconciliation observation, noted in DRI-CON-04)"
,Miller (R01MH035945),TABLE,10,KNOWN,"Table 1 row 26; PUBLISHED, ref [56]; CTRL-TAU+ADM+PT vs CTRL-TAU+ADM, CTRL-TAU+ADM+PT vs CTRL-TAU+ADM+PT (CT, SST); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Miranda (R01MH056864),TABLE,10,KNOWN,"Table 1 row 27; PUBLISHED, ref [57]; PT vs ADM, PT vs CTRL-TAU (CBT); forest label: Miranda, 2003"
,Mohr (R01MH059708),TABLE,10,KNOWN,"Table 1 row 28; PUBLISHED, ref [58]; PT vs ADM, PT vs PT (CBT, CT); forest label: Mohr, 2001"
,Murphy (R01MH032756),TABLE,10,KNOWN,"Table 1 row 29; PUBLISHED, refs [59] and [60] — one grant, two published trials (DRI-CON-18); [59] PT vs ADM, PT+ADM vs ADM (CT); [60] PT vs ADM, PT vs CTRL-NS (CBT); forest labels: Murphy, 1984 and Murphy, 1995"
,O'Hara (R01MH050524),TABLE,10,KNOWN,"Table 1 row 30; PUBLISHED, ref [61]; PT vs CTRL-NT (IPT); forest label: O'Hara, 2000"
,Reynolds (R01MH37869),TABLE,10,KNOWN,"Table 1 row 31; PUBLISHED, ref [28]; PT+ADM vs ADM, PT+CTRL-PLAC vs CTRL-PLAC (IPT); grant serial printed with 5 digits (DRI-CON-03); forest label: Reynolds, 1999; the second comparison appears in no figure"
,Rohan (R03MH065946),TABLE,10,KNOWN,"Table 1 row 32; PUBLISHED, ref [62]; PT vs CTRL-NT (CBT); forest label: Rohan, 2007"
,Schulberg (R01MH045815c),TABLE,10,KNOWN,"Table 1 row 33; PUBLISHED, ref [63]; footnote c: 'Grant number omitted in published article but confirmed with authors'; PT vs ADM, PT vs CTRL-TAU (IPT); forest label: Schulberg, 1996"
,Simon (R01MH068127),TABLE,10,KNOWN,"Table 1 row 34; PUBLISHED, ref [64]; PT+CTRL-TAU vs CTRL-TAU (CBT); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Spinelli (K20MH001276),TABLE,10,KNOWN,"Table 1 row 35; PUBLISHED, ref [65]; PT vs CTRL-NS (IPT); forest label: Spinelli, 2003"
,Swartz (K23MH064518),TABLE,10,KNOWN,"Table 1 row 36; PUBLISHED, ref [66]; PT1 vs CTRL-TAU (IPT-MOMS); forest label: Swartz, 2008"
,Talbot (K23MH064528),TABLE,10,KNOWN,"Table 1 row 37; PUBLISHED, ref [67]; PT1+CTRL-TAU vs CTRL-TAU (IPT); appears in no forest plot or Table 2 pool (DRI-CON-04)"
,Taylor (M01RR000070),TABLE,10,KNOWN,"Table 1 row 38; PUBLISHED, ref [68]; PT vs CTRL-NT (CBT); forest label: Strachowski, 2008"
,Thompson (R01MH032157),TABLE,10,KNOWN,"Table 1 row 39; PUBLISHED, ref [69]; PT vs PT (BT, CT, STPP); forest label: Gallagher, 1982"
,Thompson (R01MH037196),TABLE,10,KNOWN,"Table 1 row 40; PUBLISHED, refs [70] and [71] — one grant, two published trials (DRI-CON-18); [70] PT vs CTRL-NT, PT vs PT (BT, CT); [71] PT vs ADM, PT+ADM vs ADM (STPP, CBT); forest labels: Thompson, 1987 and Thompson, 2001"
,Weissman (R01MH034501),TABLE,10,KNOWN,"Table 1 row 41; PUBLISHED, ref [72]; PT vs PT (IPT, IPT-CM); forest label: Foley, 1989"
,Wright (R21MH057470),TABLE,10,KNOWN,"Table 1 row 42; PUBLISHED, ref [73]; PT vs CTRL-NT, PT vs PT (CT, C-CT); forest label: Wright, 2005"
,Battle (K23MH066402),TABLE,10,KNOWN,Table 1 row 43; UNPUBLISHED; PT vs CTRL-NT (IFT); never appears in a forest plot by name
,Blum (R01MH025258),TABLE,10,KNOWN,"Table 1 row 44; UNPUBLISHED; PT vs CTRL-NT, PT vs PT (STPP, TOP); forest label: Blum, unpublished (Figs 2-3; the PT vs PT comparison is not attributed by name in Fig 5 — see DRI-CON-12)"
,Chisholm (F32MH012228*),TABLE,10,KNOWN,Table 1 row 45; UNPUBLISHED section; footnote *: 'Trial was never started.' (footnote on p11); excluded from further consideration
,Clark (R01MH062054d),TABLE,11,KNOWN,"Table 1 row 46; UNPUBLISHED; footnote d: 'Investigator refuses to share data for this review.'; row otherwise empty — no comparisons, PT types or quality ratings printed (DRI-CON-05)"
,Delgado (R01MH048977),TABLE,11,KNOWN,"Table 1 row 47; UNPUBLISHED; PT vs ADM (CT); forest label: Delgado, unpublished (Fig 6)"
,Gilliam (R01NS040808),TABLE,11,KNOWN,Table 1 row 48; UNPUBLISHED; PT vs ADM (CBT); never appears in a forest plot by name
,Gottlieb (K07MH000597),TABLE,11,KNOWN,"Table 1 row 49; UNPUBLISHED; PT vs ADM, PT+ADM vs ADM (CBT); data not retained (collected >25 years earlier); excluded from main analyses; sensitivity analyses estimate g = 0.00 with n = 10 per condition (SENS-GOTTLIEB-A3/A4)"
,Hauenstein (R18MH049101),TABLE,11,KNOWN,"Table 1 row 50; UNPUBLISHED; PT vs CTRL-NS (CBT); forest label: Hauenstein, unpublished (Figs 2, 4)"
,Miller (R01MH058866),TABLE,11,KNOWN,"Table 1 row 51; UNPUBLISHED; PT+ADM vs ADM, PT+PT+ADM vs PT+ADM (CT, FT); never appears in a forest plot by name"
,Monk (R34MH072838),TABLE,11,KNOWN,Table 1 row 52; UNPUBLISHED; PT vs CTRL-TAU (IPT); never appears in a forest plot by name
,Stuart (R01MH059103),TABLE,11,KNOWN,Table 1 row 53; UNPUBLISHED; PT vs CTRL-TAU (IPT); never appears in a forest plot by name
,Stuart (R01MH059668),TABLE,11,KNOWN,"Table 1 row 54; UNPUBLISHED; PT vs PT (S-IPT, CM-IPT); never appears in a forest plot by name"
,Szapocznik (R01MH037379*),TABLE,11,KNOWN,Table 1 row 55; UNPUBLISHED section; footnote *: 'Trial was never started.'; excluded from further consideration
,Thase (R01MH041884),TABLE,11,KNOWN,"Table 1 row 56; UNPUBLISHED; PT vs ADM, PT vs CTRL-PLAC (CBT); forest label: Thase, unpublished (Figs 2, 4, 6)"
,Zlotnick (R21MH060216),TABLE,11,KNOWN,Table 1 row 57; UNPUBLISHED; PT+ADM vs ADM (SFT); never appears in a forest plot by name
