contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
DRI-CON-11,INTERNAL,"Suppressed unpublished forest-plot rows: Figs 2 (x2), 3, 4, 6 and 7 contain 'Unpublished' rows with every cell blank; visible unpublished relative weights therefore sum to <100 (Fig 2: 84.36; Fig 3: 66.57; Fig 4: 91.90; Fig 6: 55.47; Fig 7: 78.94)",six fully blank study rows,"Figs 2, 3, 4, 6, 7, pp13-15",Table 2 k counts include them,"Table 2, p12",UNRESOLVED,"Single hidden-row weights are recoverable by subtraction (Fig 3 ~33.43; Fig 4 ~8.10; Fig 6 ~44.53 — the largest invisible contributor to the unpublished PT-vs-ADM pool; Fig 7 ~21.06); Fig 2's two hidden rows share 15.64 combined and are not individually recoverable; identities unresolvable beyond the Table 1 candidate set (Battle, Gilliam, Miller R01MH058866, Monk, Stuart x2, Zlotnick) — suppression is by design ('we did not have permission of the investigators')"
DRI-CON-12,INTERNAL,"Partial anonymization inconsistency: Blum, Hauenstein, Thase and Delgado are named with full statistics in some figures, while other unpublished rows show values without names and still others are fully suppressed; Blum is named in Figs 2-3 yet both Fig 5 unpublished rows (one plausibly Blum's PT vs PT comparison per Table 1) are anonymized",named unpublished rows,"Figs 2, 3, 4, 6",anonymized/suppressed unpublished rows,"Figs 2, 4, 5, 6, 7",KNOWN,"As printed; per the figure captions, study-level display permission varied by investigator"
DRI-CON-13,INTERNAL,"Control-condition abbreviation inconsistency: Table 1 legend defines 'CTRL-PLAC = pill-placebo control condition' but the forest plots label the same condition 'CTRL-NS(PLAC)', while 'CTRL-NS' separately denotes the non-specific (psychological placebo) control",CTRL-PLAC,"Table 1 legend, p11",CTRL-NS(PLAC),"Fig 2/Fig 4 captions, pp13-14",KNOWN,Same stem used for two different conditions in the figure captions
DRI-CON-14,INTERNAL,"Table 2 note says differences were 'calculated using 5 decimals', so printed pairs such as delta-g = -0.04 with -4% (row 1a) versus delta-g = -0.04 with -24% (row 2) are not reproducible from the 2-decimal printed g values",-4% vs -24% for identical printed delta-g = -0.04,"Table 2, p12",5-decimal computation note,"Table 2 footnote, p12",KNOWN,
DRI-CON-15,INTERNAL,"Table 2 I2 95% CI printed as '-' for all three k=2 unpublished subgroups (rows 1a, 2 and 4)",-,"Table 2, p12",CIs printed for all other rows,"Table 2, p12",KNOWN,
DRI-CON-16,INTERNAL,Table 2 row 1a unpublished participant counts NPT = 45 vs NComp = 14 — a 45:14 split across only 2 studies,45/14,"Table 2, p12",(no per-study Ns printed anywhere to verify),Figs 2-7 print no per-study Ns,KNOWN,As printed; cannot be checked against the figures
DRI-CON-17,INTERNAL,Multiple non-publication-rate variants coexist: 13/55 = 23.6% (main); 15/57 = 26.3% (counting the two never-started grants); 14/55 = 25.5% (sensitivity counting [39] as unpublished); prospective '20%' if the two intended submissions eventually publish,23.6% (13/55),abstract p1 / text p7,26.3% (15/57); 25.5% (14/55); 20%,"text pp7, 12, 18",KNOWN,Internally consistent but easy to misquote
DRI-CON-18,INTERNAL,"Grant-vs-study counting: grants #29 (Murphy R01MH032756) and #40 (Thompson R01MH037196) each produced two published trials ([59]+[60]; [70]+[71]), so 42 published grants correspond to 44 published studies; text also notes 'Multiple grants that funded the same study are counted as a single grant'",42 published grants,text p7,"44 published studies (reconciles quality percentages, e.g. 18.2% = 8/44)",Table 1 p10; text p16,KNOWN,
DRI-CON-19,INTERNAL,"Study [39] (Frank R21MH061948) is counted as published although it 'reported the grant-funded trial's outcomes only in aggregate with outcomes of other trials'; per-trial data were obtained from the PI, and its Fig 5 row is not explicitly identified in the paper","Fig 5 'Wright, 2014' row = ref [39] (pass A inference from name/year match)","Fig 5, p14; Table 1 row 10",placement not explicitly stated (pass B position),text p11,AMBIGUOUS,"A sensitivity analysis recodes [39] as unpublished (publication rates 74.5%/25.5%, p12); reconciliation adopts the pass A linkage as plausible but AMBIGUOUS"
DRI-CON-20,INTERNAL,"Outcome label 'no failure' printed for the Weissman, 1979 rows in Figs 2, 4, 6 and 7 — an unusual outcome descriptor",no failure,"Figs 2, 4, 6, 7, pp13-15",conventional scale names for all other rows,Figs 2-7,KNOWN,As printed
DRI-CON-21,INTERNAL,"'Waters, in press' is grouped as Published in Figs 2 and 4; its reference [52] is dated 2015 (Psychother Res) — the label is frozen at 'in press'","Waters, in press","Figs 2, 4, pp13-14",reference [52] dated 2015,References,KNOWN,
DRI-CON-22,INTERNAL,"Composition of the k=5 published pill-placebo pool (text p14) is not identifiable from the figures: only 3 published Fig 2/Fig 4 rows are labelled CTRL-NS(PLAC) (Barber, DeRubeis, Jarrett); the remaining two presumably sit inside 'Combined'-comparison rows",k=5 published pill-placebo studies,text p14,3 explicitly labelled CTRL-NS(PLAC) rows,"Figs 2/4, pp13-14",AMBIGUOUS,"The analysis itself is in S1 Table (DOCX supplement, not in this PDF)"
DRI-CON-23,INTERNAL,"Fig 2/Fig 3 'Wright, 2005' comparison cell prints 'Combined' although the row sits in the no-treatment-controls analysis (Fig 3)",Combined,"Figs 2-3, p13",analysis is PT vs CTRL-NT,"Fig 3 caption, p13",KNOWN,As printed
