analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,Thivel 2015 OW 75%,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel 2017 OB 65%,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel 2020 OB 30min,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel Rousset 2011 OB 30min cycling,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Thivel Taillardat 2011 OB 30min,FOREST_PLOT,22;23;24;25;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Varley Campbell 2017 NW,FOREST_PLOT,22;23;24;26,KNOWN,printed twice on p22 (Fig 2 and Fig 3)
,Varley Campbell 2017 NW + Snack,FOREST_PLOT,22;23;24;26,KNOWN,"printed twice on p22 (Fig 2 and Fig 3); Fig 5 prints SE 98.8 / CI [-276.64, 110.64] vs 98.81 / [-276.66, 110.66] elsewhere (HAH-CON-04)"
,Ajibewa et al. 2017 [58],TABLE,5,KNOWN,
,Bozinovski et al. 2009 [59],TABLE,6,KNOWN,spelled 'Bozinovski' here vs 'Bozinosvki' in forest plots
,Fearnbach et al. 2016 [60],TABLE,6,KNOWN,
,"Fearnbach, Masterson et al. 2016 [61]",TABLE,6,KNOWN,
,"Fearnbach, Silvert et al. 2017 [62]",TABLE,7,KNOWN,
,Fillon et al. 2020 [63],TABLE,8,KNOWN,
,"Fillon, Beaulieu et al. 2020 [64]",TABLE,8,KNOWN,
,"Fillon, Mathieu et al. 2020 [65]",TABLE,9,KNOWN,
,Masurier et al. 2018 [66],TABLE,10,KNOWN,
,Miguet et al. 2018 [67],TABLE,10,KNOWN,
,Morris et al. 2018 [68],TABLE,11,KNOWN,
,Nemet et al. 2010 [69],TABLE,11,KNOWN,
,Saunders et al. 2013 [70],TABLE,12,KNOWN,reference [70] published 2014 (HAH-CON-12)
,"Thivel, Isacco, Rousset et al. 2011 [71]",TABLE,12,KNOWN,
,"Thivel, Isacco, Taillardat et al. 2011 [72]",TABLE,13,KNOWN,
,Thivel et al. 2012 [73],TABLE,13,KNOWN,Table 1 Fat (%) CON duplicates Protein (%) CON 20.72 +/- 4.69 (HAH-CON-10)
,Thivel et al. 2013 [74],TABLE,14,KNOWN,
,Thivel et al. 2014 [75],TABLE,14,KNOWN,incl. footnote '* study arm from Thivel et al. 2013'; OB arm not pooled
,Thivel et al. 2015 [76],TABLE,15,KNOWN,
,Thivel et al. 2017 [77],TABLE,15,KNOWN,
,Thivel et al. 2020 [78],TABLE,16,KNOWN,second (snack energy-replacement) arm not pooled
,Varley-Campbell et al. 2017 [79],TABLE,16,KNOWN,hyphenated here vs 'Varley Campbell' in forest plots/Table 2
,Ajibewa 2017,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Bozinovski 2009,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Fearnbach 2016 *,TABLE,28,KNOWN,"Table 2 (RoB, image, p28); * = per-protocol"
,Fearnbach Masterson 2016,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Fearnbach Silvert 2017,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Fillon 2020,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Fillon Beaulieu 2020 *,TABLE,28,KNOWN,"Table 2 (RoB, image, p28); * = per-protocol"
,Fillon Mathieu 2020,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Masurier 2018,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Miguet 2018,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Morris 2018,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Nemet 2010,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Saunders 2013,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2012,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2013,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2014,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2015,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2017,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel 2020,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel Rousset 2011,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Thivel Taillardat 2011,TABLE,28,KNOWN,"Table 2 (RoB, image, p28)"
,Varley Campbell 2017 *,TABLE,28,KNOWN,"Table 2 (RoB, image, p28); * = per-protocol"
