effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
F2-38,A1,STUDY,Thivel Rousset 2011 OB 30min cycling,AS_PUBLISHED,MD,279.00,153.95,404.05,63.8,,3.7,12,12,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel Rousset 2011 OB 30min cycling,279.00,153.95,404.05,KNOWN,,
F2-39,A1,STUDY,Thivel Taillardat 2011 OB 30min,AS_PUBLISHED,MD,232.00,45.14,418.86,95.34,,2.9,14,14,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Thivel Taillardat 2011 OB 30min,232.00,45.14,418.86,KNOWN,,
F2-40,A1,STUDY,Varley Campbell 2017 NW,AS_PUBLISHED,MD,-55.00,-274.54,164.54,112.01,,2.5,38,38,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Varley Campbell 2017 NW,-55.00,-274.54,164.54,KNOWN,,
F2-41,A1,STUDY,Varley Campbell 2017 NW + Snack,AS_PUBLISHED,MD,-83.00,-276.66,110.66,98.81,,2.8,38,38,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Varley Campbell 2017 NW + Snack,-83.00,-276.66,110.66,KNOWN,,
F2-TOT,A1,OVERALL_TOTAL,Total (95% CI),AS_PUBLISHED,MD,23.31,-27.54,74.15,,,100.0,780,478,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Total (95% CI),23.31,-27.54,74.15,KNOWN,,"column sums verified by both passes: exercise 780, control 478 (matches Abstract/Results text)"
F2-HET,A1,HETEROGENEITY,Heterogeneity,AS_PUBLISHED,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 2,Heterogeneity,,,,KNOWN,,"Tau2=13953.65; Chi2=92.56, df=40 (P<0.00001); I2=57%; test for overall effect: Z=0.90 (P=0.37); axis -500 -250 0 250 500, 'Higher EI in EX' / 'HIgher EI in CON' [sic]"
F3-ROWS,A2,STUDY,(27 study rows),AS_PUBLISHED,MD,,,,,,,509,375,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 3,(27 study rows),,,,KNOWN,,"study rows identical to Fig 2 except noted variants (none in Fig 3: all 27 rows match Fig 2 in MD/SE/CI/n); only weights differ - Bozinosvki 15min 3.1, 45min 3.3, Fearnbach Masterson 5.5, Fearnbach Silvert NW 4.6, OB 5.1, Fillon 30min 3.2, 90min 3.8, Fillon Beaulieu 3.6, Fillon Mathieu 1h 2.7, 3h 2.9, Masurier 20min 3.6, 40min 3.9, Miguet 4.7, Saunders walking 3.1, wallking+PA 3.0, Thivel 2012 40% 1.7, 75% 1.5, Thivel 2013 3.8, Thivel 2014 4.0, Thivel 2015 rugby 3.7, 75% 3.2, Thivel 2017 4.9, Thivel 2020 3.3, Thivel Rousset 5.1, Thivel Taillardat 4.3, Varley Campbell NW 3.9, +Snack 4.2; excluded (high RoB): 6 Ajibewa arms, Fearnbach 2016 OB, Morris, 6 Nemet arms"
F3-TOT,A2,OVERALL_TOTAL,Total (95% CI),AS_PUBLISHED,MD,23.01,-50.17,96.20,,,100.0,509,375,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,22,FOREST_PLOT,,Fig 3,Total (95% CI),23.01,-50.17,96.20,KNOWN,,"Tau2=23157.13; Chi2=84.41, df=26 (P<0.00001); I2=69%; Z=0.62 (P=0.54); sums verified"
F4-01,A3a,STUDY,Ajibewa 2017 NW 25% stretching,AS_PUBLISHED,MD,17.00,-144.13,178.13,82.21,,2.9,25,12,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 NW 25% stretching,17.00,-144.13,178.13,KNOWN,,"differs from Fig 2 (SE 100.69, control 8): control re-split 2-way (12) within subgroup"
F4-02,A3a,STUDY,Ajibewa 2017 NW 50% push-ups,AS_PUBLISHED,MD,73.00,-103.83,249.83,90.22,,2.7,25,12,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 NW 50% push-ups,73.00,-103.83,249.83,KNOWN,,"Fig 2: SE 110.5, control 8"
F4-03,A3a,STUDY,Ajibewa 2017 OB 25%,AS_PUBLISHED,MD,-59.00,-292.26,174.26,119.01,,2.2,13,6,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 OB 25%,-59.00,-292.26,174.26,KNOWN,,"Fig 2: SE 145.76, control 4"
F4-04,A3a,STUDY,Ajibewa 2017 OB 50%,AS_PUBLISHED,MD,79.00,-176.32,334.32,130.27,,2.0,13,6,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 OB 50%,79.00,-176.32,334.32,KNOWN,,"Fig 2: SE 159.55, control 4"
F4-17,A3a,STUDY,Nemet 2010 NW 45min resistance training,AS_PUBLISHED,MD,169.00,10.77,327.23,80.73,,2.9,22,11,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 NW 45min resistance training,169.00,10.77,327.23,KNOWN,,"Fig 2: SE 101.21, control 7; CI excludes 0 here (does not in Fig 2)"
F4-18,A3a,STUDY,Nemet 2010 NW 45min swimming,AS_PUBLISHED,MD,120.00,-39.25,279.25,81.25,,2.9,22,11,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 NW 45min swimming,120.00,-39.25,279.25,KNOWN,,"Fig 2: SE 101.86, control 7"
F4-19,A3a,STUDY,Nemet 2010 OW 45min resistance training,AS_PUBLISHED,MD,27.00,-176.17,230.17,103.66,,2.5,22,11,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 OW 45min resistance training,27.00,-176.17,230.17,KNOWN,,"Fig 2: SE 129.95, control 7"
F4-20,A3a,STUDY,Nemet 2010 OW 45min swimming,AS_PUBLISHED,MD,-184.00,-438.50,70.50,129.85,,2.0,22,11,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 OW 45min swimming,-184.00,-438.50,70.50,KNOWN,,"Fig 2: SE 162.78, control 7"
F4-23,A3a,STUDY,Thivel 2012 OB 40%,AS_PUBLISHED,MD,-200.00,-520.71,120.71,163.63,,1.5,15,15,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Thivel 2012 OB 40%,-200.00,-520.71,120.71,KNOWN,,"Fig 2: SE 239.53, control 7; arms fall in different Fig 4 subgroups so control left unsplit (15)"
F4-28,A3b,STUDY,Ajibewa 2017 NW 75% jumping jacks,AS_PUBLISHED,MD,-17.00,-154.32,120.32,70.06,,3.2,25,25,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 NW 75% jumping jacks,-17.00,-154.32,120.32,KNOWN,,"Fig 2: SE 123.84, control 8; sole NW arm in subgroup, control unsplit"
F4-29,A3b,STUDY,Ajibewa 2017 OB 75%,AS_PUBLISHED,MD,-116.00,-304.90,72.90,96.38,,2.6,13,13,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Ajibewa 2017 OB 75%,-116.00,-304.90,72.90,KNOWN,,"Fig 2: SE 173.75, control 4"
F4-33,A3b,STUDY,Nemet 2010 NW 45min aerobic,AS_PUBLISHED,MD,26.00,-84.37,136.37,56.31,,3.5,22,22,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 NW 45min aerobic,26.00,-84.37,136.37,KNOWN,,"Fig 2: SE 99.83, control 7"
F4-34,A3b,STUDY,Nemet 2010 OW 45min aerobic,AS_PUBLISHED,MD,-129.00,-268.02,10.02,70.93,,3.2,22,22,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Nemet 2010 OW 45min aerobic,-129.00,-268.02,10.02,KNOWN,,"Fig 2: SE 125.74, control 7"
F4-35,A3b,STUDY,Thivel 2012 OB 75%,AS_PUBLISHED,MD,222.00,-129.21,573.21,179.19,,1.3,15,15,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Thivel 2012 OB 75%,222.00,-129.21,573.21,KNOWN,,"Fig 2: SE 262.31, control 7; control unsplit (arms in different subgroups)"
F4-38,A3b,STUDY,Thivel 2015 OW 60min rugby,AS_PUBLISHED,MD,-240.00,-520.18,40.18,142.95,,1.8,14,7,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Thivel 2015 OW 60min rugby,-240.00,-520.18,40.18,KNOWN,,"CONTRADICTS Figs 2/3/5/6/7 (SE 121.68, CI [-478.49, -1.51]); both Thivel 2015 arms share this subgroup (control unchanged at 7) so no re-split explains it; SE appears swapped with the 75% arm - HAH-CON-01; CI here no longer excludes 0"
F4-39,A3b,STUDY,Thivel 2015 OW 75%,AS_PUBLISHED,MD,-395.00,-589.10,-200.90,99.03,,2.6,14,7,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Thivel 2015 OW 75%,-395.00,-589.10,-200.90,KNOWN,,"CONTRADICTS Figs 2/3/5/6/7 (SE 142.95, CI [-675.18, -114.82]); see HAH-CON-01"
F4-ROWS,A3a;A3b,STUDY,(25 study rows),AS_PUBLISHED,MD,,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,(25 study rows),,,,KNOWN,,"remaining 25 Fig 4 study rows identical to Fig 2 in MD/SE/CI/n (18 low/mod: Bozinosvki 15min w1.7, 45min 1.8, Fearnbach 2016 3.3, Fearnbach Silvert NW 2.8, OB 3.3, Fillon 30min 1.8, 90min 2.2, Fillon Beaulieu 2.1, Fillon Mathieu 1h 1.5, 3h 1.6, Masurier 20min 2.0, 40min 2.3, Saunders walking 1.7, wallking+PA 1.7, Thivel 2017 3.2, Thivel 2020 1.9, Varley Campbell NW 2.3, +Snack 2.6; 7 high: Fearnbach Masterson 3.7, Miguet 2.9, Morris 3.0, Thivel 2013 2.2, Thivel 2014 2.4, Thivel Rousset 3.3, Thivel Taillardat 2.6); weights listed are Fig 4 weights"
F4-S1,A3a,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,18.30,-30.02,66.62,,,61.6,547,359,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Low or Moderate Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Subtotal (95% CI),18.30,-30.02,66.62,KNOWN,,"Tau2=4625.33; Chi2=37.17, df=26 (P=0.07); I2=30%; Z=0.74 (P=0.46)"
F4-S2,A3b,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,22.71,-78.48,123.90,,,38.4,233,219,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Subtotal (95% CI),22.71,-78.48,123.90,KNOWN,,"Tau2=28704.97; Chi2=72.65, df=13 (P<0.00001); I2=82%; Z=0.44 (P=0.66)"
F4-TOT,A3tot,OVERALL_TOTAL,(unlabeled diamond),AS_PUBLISHED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,(unlabeled diamond),,,,UNRESOLVED,,overall diamond drawn but NO 'Total (95% CI)' row values printed - unrecoverable from figure (HAH-CON-03)
F4-SGT,A3tot,SUBGROUP_TEST,Test for subgroup differences,AS_PUBLISHED,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,23,FOREST_PLOT,,Fig 4,Test for subgroup differences,,,,KNOWN,,"Chi2=0.01, df=1 (P=0.94), I2=0%"
F5-ROWS,A4a;A4b,STUDY,(40 study rows),AS_PUBLISHED,MD,,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,24,FOREST_PLOT,,Fig 5,(40 study rows),,,,KNOWN,,"study rows identical to Fig 2 except noted variants (Varley Campbell 2017 NW + Snack, row F5-VCS); 16 Normalweight rows (Ajibewa NW x3, Bozinosvki x2, Fearnbach Masterson, Fearnbach Silvert NW, Morris, Nemet NW x3, Saunders x2, Thivel 2014, Varley Campbell x2) and 25 Overweight/Obese rows (Ajibewa OB x3, Fearnbach 2016, Fearnbach Silvert OB, Fillon 2020 x2, Fillon Beaulieu, Fillon Mathieu x2, Masurier x2, Miguet, Nemet OW x3, Thivel 2012 x2, Thivel 2013, Thivel 2015 x2, Thivel 2017, Thivel 2020, Thivel Rousset, Thivel Taillardat); weights identical to Fig 2"
