effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
E16,A1,STUDY,Chen (2017),AS_PUBLISHED,HR,3.16,2.62,3.82,,,6.27,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Chen (2017),3.16,2.62,3.82,KNOWN,,
E17,A1,STUDY,Hu (2014),AS_PUBLISHED,HR,2.56,1.17,5.76,,,2.81,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Hu (2014),2.56,1.17,5.76,KNOWN,,one of two Hu cohorts; attribution AMBIGUOUS
E18,A1,STUDY,Hu (2014),AS_PUBLISHED,HR,2.10,1.14,3.85,,,3.72,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Hu (2014),2.10,1.14,3.85,KNOWN,,second Hu cohort; attribution AMBIGUOUS
E19,A1,STUDY,Gao (2016),AS_PUBLISHED,HR,1.33,0.56,3.12,,,2.58,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Gao (2016),1.33,0.56,3.12,KNOWN,,
E20,A1,STUDY,Geng (2016),AS_PUBLISHED,HR,1.30,1.05,1.62,,,6.14,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Geng (2016),1.30,1.05,1.62,KNOWN,,one of two Geng cohorts; attribution AMBIGUOUS
E21,A1,STUDY,Geng (2016),AS_PUBLISHED,HR,1.24,1.01,1.53,,,6.18,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Geng (2016),1.24,1.01,1.53,KNOWN,,second Geng cohort; attribution AMBIGUOUS
E22,A1,STUDY,Yang (2015),AS_PUBLISHED,HR,2.45,1.35,4.45,,,3.79,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Yang (2015),2.45,1.35,4.45,KNOWN,,
E23,A1,OVERALL_TOTAL,Overall,AS_PUBLISHED,HR,1.69,1.42,2.01,,,100.00,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,4,FOREST_PLOT,,Figure 2,Overall,1.69,1.42,2.01,KNOWN,,"row label 'Overall  (I-squared = 78.5%, p = 0.000)'; study weights sum 99.99"
E24,A2,STUDY,Hu (2014),AS_PUBLISHED,HR,2.32,1.28,4.23,,,21.64,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TTR,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Hu (2014),2.32,1.28,4.23,KNOWN,,cohort attribution AMBIGUOUS
E25,A2,STUDY,Hu (2014),AS_PUBLISHED,HR,1.92,1.04,3.54,,,20.61,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TTR,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Hu (2014),1.92,1.04,3.54,KNOWN,,cohort attribution AMBIGUOUS
E26,A2,STUDY,Wang (2016),AS_PUBLISHED,HR,2.06,1.20,3.54,,,26.65,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TTR,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Wang (2016),2.06,1.20,3.54,KNOWN,,= Wang[14]
E27,A2,STUDY,Gao (2016),AS_PUBLISHED,HR,1.46,0.89,2.40,,,31.10,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TTR,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Gao (2016),1.46,0.89,2.40,KNOWN,,
E28,A2,OVERALL_TOTAL,Overall,AS_PUBLISHED,HR,1.87,1.42,2.47,,,100.00,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,TTR,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Overall,1.87,1.42,2.47,KNOWN,,"'Overall  (I-squared = 0.0%, p = 0.664)'"
E29,A3,STUDY,Gardini (2016),AS_PUBLISHED,HR,1.73,0.91,3.29,,,14.37,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Gardini (2016),1.73,0.91,3.29,KNOWN,,
E30,A3,STUDY,Passardi (2016),AS_PUBLISHED,HR,0.79,0.53,1.16,,,19.59,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Passardi (2016),0.79,0.53,1.16,KNOWN,,
E31,A3,STUDY,Lolli (2016),AS_PUBLISHED,HR,1.71,1.71,2.21,,,24.25,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Lolli (2016),1.71,1.71,2.21,KNOWN,,"printed lower CI equals point estimate; plotted whisker extends below marker — likely source typo, recorded verbatim"
E32,A3,STUDY,Yang (2017),AS_PUBLISHED,HR,1.55,0.98,2.46,,,18.09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Yang (2017),1.55,0.98,2.46,KNOWN,,
E33,A3,STUDY,Chen (2017),AS_PUBLISHED,HR,2.72,2.29,3.23,,,23.70,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Chen (2017),2.72,2.29,3.23,KNOWN,,
E34,A3,OVERALL_TOTAL,Overall,AS_PUBLISHED,HR,1.61,1.11,2.35,,,100.00,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Overall,1.61,1.11,2.35,KNOWN,,"'Overall  (I-squared = 89.8%, p = 0.000)'"
E35,A5,STUDY,Wang (2017),AS_PUBLISHED,HR,2.70,1.73,4.22,,,25.38,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Wang (2017),2.70,1.73,4.22,KNOWN,,= Wang[27]
E36,A5,SUBGROUP_TOTAL,Subtotal (DFS),AS_PUBLISHED,HR,2.70,1.73,4.22,,,25.38,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Subtotal (DFS),2.70,1.73,4.22,KNOWN,,"single-study subtotal; 'I-squared = .%, p = .'"
E37,A4,STUDY,Feng (2017),AS_PUBLISHED,HR,1.44,1.04,1.99,,,48.76,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CSS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Feng (2017),1.44,1.04,1.99,KNOWN,,
E38,A4,SUBGROUP_TOTAL,Subtotal (CSS),AS_PUBLISHED,HR,1.44,1.04,1.99,,,48.76,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CSS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Subtotal (CSS),1.44,1.04,1.99,KNOWN,,single-study subtotal
E39,A6,STUDY,Yu (2017),AS_PUBLISHED,HR,1.66,1.07,2.59,,,25.87,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Yu (2017),1.66,1.07,2.59,KNOWN,,
E40,A6,SUBGROUP_TOTAL,Subtotal (RFS),AS_PUBLISHED,HR,1.66,1.07,2.59,,,25.87,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,Subtotal (RFS),1.66,1.07,2.59,KNOWN,,single-study subtotal
E41,A4;A5;A6,OVERALL_TOTAL,(no Overall row printed),AS_PUBLISHED,HR,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DFS/CSS/RFS,NOT_APPLICABLE,6,FOREST_PLOT,,Figure 5,(no Overall row printed),,,,UNRESOLVED,,"panel cropped: no overall diamond, no axis labels; subtotal weights sum 100.01 implying hidden combined pool"
